frequency_relative_to_carrier_hz	psd_relative_db
-39284.179688	-54.851200
-39281.250000	-54.256620
-39278.320312	-53.996579
-39275.390625	-54.556809
-39272.460938	-54.078854
-39269.531250	-54.477850
-39266.601562	-55.014152
-39263.671875	-55.315407
-39260.742188	-54.603333
-39257.812500	-54.582965
-39254.882812	-55.269318
-39251.953125	-54.961632
-39249.023438	-55.126690
-39246.093750	-55.354510
-39243.164062	-55.606653
-39240.234375	-55.535211
-39237.304688	-55.234271
-39234.375000	-55.589673
-39231.445312	-54.040708
-39228.515625	-54.377033
-39225.585938	-55.679179
-39222.656250	-54.210395
-39219.726562	-54.726186
-39216.796875	-54.913830
-39213.867188	-54.088665
-39210.937500	-53.784846
-39208.007812	-54.455740
-39205.078125	-54.969974
-39202.148438	-55.760283
-39199.218750	-55.723587
-39196.289062	-54.839349
-39193.359375	-54.720543
-39190.429688	-54.532328
-39187.500000	-54.440269
-39184.570312	-54.140761
-39181.640625	-54.874149
-39178.710938	-54.391653
-39175.781250	-54.631992
-39172.851562	-54.778015
-39169.921875	-55.032981
-39166.992188	-55.510444
-39164.062500	-55.293187
-39161.132812	-55.446658
-39158.203125	-55.949794
-39155.273438	-56.401608
-39152.343750	-56.763327
-39149.414062	-55.310323
-39146.484375	-54.696326
-39143.554688	-55.469259
-39140.625000	-55.527756
-39137.695312	-55.795770
-39134.765625	-55.118301
-39131.835938	-54.449049
-39128.906250	-53.875843
-39125.976562	-54.055268
-39123.046875	-55.732636
-39120.117188	-56.148316
-39117.187500	-56.053903
-39114.257812	-54.997470
-39111.328125	-54.405323
-39108.398438	-54.712878
-39105.468750	-54.396377
-39102.539062	-56.469562
-39099.609375	-55.489837
-39096.679688	-55.296116
-39093.750000	-54.240314
-39090.820312	-53.893292
-39087.890625	-54.163575
-39084.960938	-54.561051
-39082.031250	-53.533598
-39079.101562	-54.011284
-39076.171875	-55.755185
-39073.242188	-56.155685
-39070.312500	-54.861409
-39067.382812	-54.923369
-39064.453125	-56.164335
-39061.523438	-54.979407
-39058.593750	-53.873136
-39055.664062	-54.425486
-39052.734375	-53.691312
-39049.804688	-53.683402
-39046.875000	-55.042704
-39043.945312	-54.813869
-39041.015625	-54.998850
-39038.085938	-55.417327
-39035.156250	-54.502324
-39032.226562	-54.383064
-39029.296875	-54.583029
-39026.367188	-55.375221
-39023.437500	-55.552627
-39020.507812	-55.897443
-39017.578125	-54.946196
-39014.648438	-53.759622
-39011.718750	-54.043161
-39008.789062	-53.673436
-39005.859375	-53.595859
-39002.929688	-54.020937
-39000.000000	-54.191489
-38997.070312	-54.718105
-38994.140625	-55.312058
-38991.210938	-56.151667
-38988.281250	-55.121755
-38985.351562	-55.448240
-38982.421875	-53.836932
